RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
102001,0,United States,country,,1140.7942055926494,1147.004812963674,1155.5603155062634,1164.2893896996152,1172.9637643007586,1180.5117340216866,1186.076047271142,1189.6083621540388,1191.4554084841704,1191.839776342482,1192.1883790412935,1192.6122705116773,1195.585085070649,1200.3113247480512,1206.231375019733,1213.9460511075833,1221.9239270755647,1229.9076205533413,1234.3729221928998,1236.3890745923304,1236.1465734524604,1234.8076691913654,1233.6374597940685,1232.9960147424986,1237.3899994546434,1244.892879771838,1256.0579856015952,1265.583269135566,1274.6443111972164,1281.5730033423106,1286.216210004309,1287.633764916861,1287.865384038856,1286.2231651348661,1286.132340803378,1286.9614608236093,1291.7120873930396,1298.8986488634646,1308.18987108919,1317.4279244727293,1325.3659627232312,1332.56797290308,1337.6590742782068,1340.5895273838041,1339.8345154803546,1339.1824399338786,1339.7804991853588,1341.86812361588,1345.826720531385,1351.6438564663217,1361.5977719536402,1371.4824316651395,1381.1603961225803,1388.8733989603866,1394.3782475314588,1397.1483971605282,1396.6328246061296,1395.168160336661,1394.0091669542073,1395.2206408784343,1400.0484846948661,1407.9397321662977,1416.220980786088,1417.4558706932683,1417.2390258841726,1418.0876044663341,1423.35770483291,1424.7687120081873,1422.332301131806,1419.460836390367,1417.991254446207,1419.9489870087443,1427.6560674015357,1439.5621045960997,1454.6846090743982,1472.9956773894135,1497.2216104692834,1525.7746631534553,1555.5515262347737,1583.1944999815905,1605.6045069764796,1619.5930662368637,1628.8131558939792,1637.8002501401056,1648.2378697137829,1662.886009746947,1678.0945674057396,1697.884841646587,1717.923546980035,1738.7180920999685,1755.834620939028,1765.4988627450641,1767.5365641858775,1763.036612940788,1757.1721359861751,1754.3895652721328,1756.352485566748,1762.9501487590287,1775.424422378762,1786.1509664587893,1798.0035185966851,1804.9043579648992,1813.2659900801839,1817.5197354763106,1817.8267182189468,1814.3094145554178,1809.1792126668051,1806.7118587787122,1809.9731834446598,1818.092301144784,1829.053369793628,1839.849734527838,1850.7697597311658,1860.148358370779,1867.2435411819574,1870.2010588865407,1870.0241039781304,1866.423174443364,1863.4760203067256,1861.6003554872657,1867.0528417394253,1876.7524072388433,1889.9330277368194,1900.382656441628,1908.0231990651062,1913.0050054870183,1915.1268118801156,1915.5686334592842,1913.9726453617468,1910.3452104901032,1904.737524857606,1900.5083944892367
394913,1,"New York, NY",msa,NY,2142.5331385878894,2156.7778306618816,2175.2164670792,2193.437279743332,2207.7213909143484,2222.2391710961624,2232.391455198571,2242.0774098912752,2246.076103374717,2244.1899126093404,2235.1888656697524,2226.108416214519,2223.3718630523545,2227.66955017439,2236.1466038497533,2248.2234940545336,2262.2696034679257,2276.7335674159403,2288.9125205320015,2292.7273901931353,2293.1650869628493,2286.107511114946,2281.9925978458477,2270.7778923649576,2267.6866570603734,2268.3772967952277,2279.952111514188,2293.8872516730667,2310.8412898846914,2324.7361311206914,2334.679319166504,2336.7763003327077,2335.0101259173653,2322.0058208410837,2307.6918933912157,2295.0597659817613,2294.014898003304,2300.7308631243436,2313.7126990961992,2332.33631598627,2349.8891482934437,2366.026888261861,2377.5166642307254,2385.8819610324886,2386.358046364244,2378.1081893955525,2367.7714041056715,2358.397625074135,2357.9670583139578,2366.9364845878918,2381.8921204243698,2398.821939958644,2417.976045466962,2438.74592662067,2453.5140916636283,2460.882337600735,2459.0292965460135,2454.582532585442,2442.3507774951654,2435.499005632204,2434.7132483160885,2447.4966441742267,2456.3048611894437,2450.7975021082375,2435.82525557974,2414.799203399835,2391.685646453954,,,2258.9092857894043,2229.2086263937326,2216.850911407707,2215.854563203977,2229.4550674858583,2249.7751047089378,2275.923543484092,2317.663516855513,2369.253636211555,2428.78001213411,2485.458831147213,2531.8205653280183,2563.343856324622,2584.2714099546884,2603.3620087936765,2626.819489055798,2657.674105520803,2694.2673751715374,2733.3249055672377,2781.343958507869,2831.7776965083826,2876.8372411148816,2902.9314324100073,2907.0199057439268,2893.1922197269646,2869.0900958860166,2850.7260553110655,2848.864963297852,2861.4416520246173,2886.7692928852307,2917.724909574162,2951.5039358381146,2979.672163262311,3000.1305055119897,3009.686090896838,3008.7186425061227,2994.8830263485456,2976.060993582643,2964.047872494996,2969.5227795745436,2987.3729227935096,3015.337811047523,3041.9848763223627,3071.0919543258888,3096.725149996732,3112.7335761986687,3117.9876020329343,3108.7938874731803,3095.737408689533,3086.0508896840233,3081.5571654784903,3091.199318056964,3108.486299099665,3137.5268248699813,3166.7660240308137,3193.9293540655835,3224.423948089896,3253.2389589259924,3273.658647496563,3270.725419785375,3257.950925601976,3236.9856529412,3225.3477534623908
753899,2,"Los Angeles, CA",msa,CA,1747.125998173893,1758.4897719896721,1773.6112887411796,1788.4921029009206,1803.1585412281097,1814.979060416089,1827.3725903336858,1837.4608674377498,1847.2425155774497,1851.769121138479,1856.3522720434598,1862.3262193908583,1872.3307709091966,1883.1344660312939,1894.1758461604284,1904.2789724696572,1917.7557515521642,1929.9198490325768,1942.346414276191,1948.4079880125369,1953.5588894115638,1954.5164674457694,1956.5564115617221,1959.3582798931839,1972.8698727269239,1989.361075472461,2010.6207131467525,2024.3450620291444,2037.5450532850002,2046.5665389923913,2056.356872667175,2061.618527129382,2066.4065924927536,2067.089931543748,2071.4720224053895,2076.1995448965567,2086.9657439755847,2099.1102601146795,2109.587059702624,2118.3782223706176,2125.9024158488282,2137.5009676049017,2147.4799567908944,2156.100922257701,2159.607163389241,2163.575889392397,2169.2554675044153,2174.891598853667,2180.042578822031,2183.4950602089953,2195.1684441753523,2205.729908672065,2218.8387104308767,2227.7647736222584,2236.1355886743363,2241.406209178771,2244.363138365319,2246.01380545039,2248.9383089216744,2252.8183079471546,2260.52913893254,2265.6061035906437,2265.5873314297064,2253.968886826127,2244.032626167706,2239.398810811158,2241.4398010885543,2241.050406099905,2239.750755325689,2240.2362218990465,2241.7946940658508,2241.984326878179,2251.8558379721503,2262.747995911673,2277.617626166669,2288.812449386763,2307.8665367285853,2341.463557763092,2385.613824804822,2436.756692085742,2475.4651218334225,2500.262891278259,2514.2476703182015,2531.2464151543304,2550.0953428963453,2575.244392862158,2599.5902997972366,2629.406896379735,2653.9800090580798,2677.731522866224,2696.8234667326356,2711.0127244349064,2716.7092477811016,2711.9982950249537,2706.4941552432642,2698.890709315274,2698.1990257313055,2702.746019424966,2716.9081811206665,2727.5137659831767,2736.8195833212517,2744.2173833953157,2757.057583158529,2767.3058674949457,2770.785918133679,2767.905717587531,2758.011172866842,2752.3921634232347,2756.0343284316286,2767.0379826530566,2780.1285860201524,2789.363847527573,2800.1156866842766,2811.5198920133344,2823.2697503586005,2829.880068475966,2834.0910129672106,2831.6893341752616,2827.8365550185404,2822.2692936766975,2843.530970105964,2866.909956884203,2891.4080213930006,2892.0115482893493,2896.3306909211487,2900.8474120283345,2903.3920399966833,2904.5068867464465,2904.006349818377,2901.35617987989,2894.495542761758,2885.0234364745324
394463,3,"Chicago, IL",msa,IL,1326.0214488871784,1332.9733785384092,1342.7630891945275,1351.6813043172322,1361.262061732625,1370.3867632384568,1374.6868303461483,1377.157835014859,1372.3075038920165,1365.590114855511,1359.481547356853,1360.1079593454867,1367.6515850886792,1376.3965577127267,1387.16301031734,1394.6163486777145,1402.9288986031606,1410.0542799880516,1415.9412516328362,1418.9823334759367,1412.6707491155698,1403.461339546396,1392.3712583075712,1387.1571566952732,1392.8520082779935,1405.9701791955647,1423.5641953270433,1436.5411389277813,1447.6349664266559,1453.3002704589546,1455.0981690724618,1450.6725946823228,1445.1635664543753,1434.8921305231463,1428.5990902981996,1426.4155945455948,1434.3799322649666,1445.3939594934857,1457.6054996868731,1468.251348918609,1478.0779654891867,1486.7913169387755,1490.8249483057555,1488.1487578255592,1478.0758456198887,1467.1879433188517,1460.952857436167,1461.9926532382328,1470.6146238853737,1480.553998365545,1495.681410247077,1508.503067004644,1520.4741315185406,1527.032515553664,1529.5544296008136,1528.7302307358757,1523.6151319447117,1517.3661751983775,1510.905165470371,1506.3563003490233,1514.5988380521962,1525.6143738733276,1540.2502258956713,1541.2678083015287,1540.825423717476,1538.3453147725793,1538.0403526842235,1532.8196450316984,1519.0689070827077,1499.6853209842207,1483.994060704439,1477.9459853337337,1480.7729706490018,1490.9043848949023,1506.5807461188542,1530.5065561866713,1555.993208013873,1579.9870156808495,1597.9924328220886,1610.0742338322257,1617.1667044058333,1616.53765372219,1616.9013382253604,1622.2736359507699,1635.0707931587312,1650.2382268401982,1669.1381666368761,1692.245324474257,1716.9831764134522,1736.471007196692,1751.553045109066,1758.546467945913,1759.5771020131428,1755.539406748347,1750.5216171874208,1750.7426605909543,1757.7725966551031,1771.9543673377493,1789.7772567641339,1807.9835766439023,1828.5626774363918,1845.4163776444907,1856.959538389659,1862.5645376238265,1859.2536105542229,1852.4611191828378,1845.6898709253749,1848.0031630763958,1856.7854948014638,1871.0972921431596,1885.6766199738877,1904.5206613591054,1920.9631860790928,1936.5430628180395,1944.874346921021,1948.546094486444,1947.7155289227724,1946.0985359303452,1945.8450307676783,1949.748154994295,1958.2248463545507,1974.760508507993,1993.4797239499542,2014.9222898919736,2033.8606956820759,2051.4439123598795,2062.052532153312,2065.855131937777,2064.5252404768585,2059.4476180527613,2054.4808212287717,2051.7870307152157
394514,4,"Dallas, TX",msa,TX,1048.5812463145387,1053.3342559210396,1060.7871917020914,1071.89385143582,1081.1377416177536,1089.19911961556,1095.5581639292159,1098.6938019512402,1099.9412831914742,1099.3559559717532,1100.174661931746,1101.9226652927073,1104.01410575069,1109.8158489339141,1117.714777765898,1128.0611701370412,1136.1323660433834,1143.164101299898,1147.760552102766,1150.8310183720937,1150.825526947867,1151.6684869985716,1151.1072269570438,1151.8845549150583,1156.6963905902976,1162.7738384235836,1174.8818040258723,1183.482242972793,1195.6181311099251,1201.7904371830812,1206.5492098108164,1207.564396136099,1206.7933679361786,1204.6517842107041,1206.308588177442,1206.5251859241175,1210.7742258176079,1216.439985076726,1223.567611717762,1231.277458697226,1236.3307875192631,1244.1546814160504,1247.5818226059444,1248.4643296337865,1245.6928423759048,1248.339834106507,1249.7661316743158,1252.5766771783237,1254.1550199265378,1258.3407603539529,1268.6465651424162,1277.3724221325954,1285.9163617435208,1292.3638233825786,1295.179139251366,1296.8951233590235,1295.567348462786,1295.341098434763,1293.660989200709,1291.0028879852373,1292.9876867171822,1298.7961766632939,1306.7151388075742,1307.738877788492,1307.283581948969,1308.022159326246,1311.788755275906,1315.4678660286659,1317.3185211248117,1319.6191033513487,1320.6807012041818,1324.1257336384338,1331.6833414654868,1342.7373560268873,1354.1809765753649,1371.3771771372474,1394.7386904994714,1426.3737946364813,1458.4711118931127,1488.5530667396647,1510.5559818126872,1523.9438003196108,1534.079349204433,1543.337845578629,1554.2622990381365,1566.0536141596774,1578.9096491143669,1597.159490776718,1618.532184068889,1645.8553159181301,1665.7726486104468,1672.7083297494194,1667.2517167234423,1653.443184735762,1643.4331662106617,1635.6938238579708,1635.5753186577938,1638.3392853681673,1649.4236553504338,1653.7520184987845,1661.4316862595167,1663.3494529516593,1670.3295524666269,1670.4595425787097,1665.8270953701906,1657.4384678092542,1649.6025973946746,1641.719051840857,1638.687163012963,1637.9590624054813,1642.1566165742345,1647.5374190909868,1654.3748085957532,1660.5468280699445,1664.0770598272875,1663.9716849504653,1658.108910030859,1651.3921377354454,1642.977175634748,1637.3338895927443,1636.5138760538014,1644.8340686430893,1655.91802370711,1667.26000756883,1670.5716167463,1671.6837164309632,1668.289176704206,1664.451935701729,1659.646198411692,1653.4612168109466,1647.26414960283,1642.1041105007864
394692,5,"Houston, TX",msa,TX,1189.1561180316169,1192.8375918321112,1199.2726868332345,1209.8335342050434,1218.9275972411165,1227.1261800210252,1228.4611153685416,1229.6123132090675,1227.3156594302768,1224.4461975843865,1220.926269697668,1217.8573758314299,1217.873007762052,1219.5804905107489,1225.228657786128,1229.9755019399913,1233.3658022489315,1234.6353163601102,1233.9499758877691,1231.359369974729,1226.0345568525693,1222.2536650487752,1216.7788371043816,1214.692807041025,1215.4161082896935,1223.1131002646182,1231.2210781722201,1236.341687386149,1243.8971639035626,1245.626602235847,1246.1410195114004,1241.2356210809794,1248.11221743603,1255.788704056225,1266.1848310678622,1271.029068373995,1274.0875780971664,1279.957585620551,1282.1983428234298,1289.1486389449308,1291.7070239104212,1296.5082087470478,1296.3840955687917,1294.7907585805592,1291.2494126742586,1291.3455834921388,1293.6307921949262,1293.1742797486131,1293.6633051397434,1291.9498255397746,1298.885166730775,1304.263203115143,1313.1695665392344,1318.9297340283904,1322.4100934214598,1321.9120084593983,1318.8532432876634,1317.7372499382798,1317.5081603580802,1320.7465670714853,1323.8552790775686,1329.6057976927134,1334.6378455663735,1331.6645962249868,1326.0956296384697,1322.0069115167855,1326.3085023694878,1331.4591218266983,1331.8052065397771,1333.6144461755605,1334.6456148745701,1335.423010033772,1339.0446320710703,1341.52787685888,1350.7111936549286,1362.8025616735392,1383.5424852402678,1409.7161743995844,1434.8647647003725,1457.5640069134683,1470.0366147196949,1476.6930795768826,1479.5775814556077,1483.5167749192194,1489.1376346709876,1499.4364769379918,1510.1094980594812,1523.9031255693135,1535.379336841778,1550.4831350915208,1561.4941006616543,1567.8152826407613,1565.255999341604,1559.3022290162212,1551.6395941861958,1549.2190644159373,1551.7881635828048,1559.8371179862065,1571.5865119035384,1578.102556679538,1586.89918362064,1593.7465005155943,1600.2301223688921,1601.3313098112994,1596.3338116473833,1590.809853461999,1585.1371498791927,1583.6289583406055,1585.6914358790586,1590.6882155979076,1595.1127431161585,1602.6400668013234,1610.8314630519667,1619.0310242953294,1623.3612202403579,1625.917850769297,1626.066392993644,1624.1459680113562,1619.0615622402038,1616.3709586014172,1616.899724723697,1623.4947859189617,1633.2899535682398,1639.4099262050327,1641.126960437702,1634.1590439838817,1634.4506460981277,1632.79477260041,1634.0435478686597,1627.7937415088702,1621.210053746854,1616.9573973903819
395209,6,"Washington, DC",msa,VA,1684.9375436157425,1691.5530966055078,1703.4598497073875,1712.0266560355797,1720.6322436244093,1727.1990485207007,1731.1998866897165,1728.8578246636916,1727.9419103009511,1723.5666516211436,1722.889583238082,1718.1562669535747,1721.463977136202,1725.4921774794202,1734.5884951759642,1741.50663649048,1749.6379077316035,1755.9250449818164,1760.7431012647648,1762.1718112371252,1758.0781304241088,1752.47683756009,1747.020553011092,1744.75550277281,1749.9663486837878,1761.5879112286216,1774.8579746990176,1785.7367718691446,1792.3497141208293,1799.8125901557619,1802.738382725131,1802.454604462842,1799.9846169517461,1795.5566217911244,1790.8491179901375,1787.995154974085,1791.034826217045,1797.3070414599788,1809.0533900666328,1820.4993382894854,1831.3390967491828,1839.8812384012651,1845.2039612765548,1849.961727435112,1844.985538361112,1842.4418751820513,1842.2830717278755,1847.5577997396235,1852.4319522930632,1859.3707406885926,1869.1622060371928,1880.4987888692199,1890.989411080252,1899.292655353843,1904.4511163244597,1905.6724142206972,1905.9789538537805,1900.4875345040875,1894.432461680007,1894.327133785417,1902.0558812275658,1910.844339583886,1921.5213370210645,1921.684363325224,1920.6605657004577,1914.1180829589125,1913.0226663555766,1908.7614725973783,1896.2228945912427,1878.934812862994,1859.4341285988378,1848.1343233178984,1850.389112628864,1859.0800415297865,1870.2612889758618,1885.0888038798455,1912.2016032783977,1949.5065602447837,1986.5053231189504,2016.8509763544328,2035.1335085999044,2044.7135990736713,2045.3481249917822,2044.9240072475154,2046.743087422826,2058.0767386128705,2076.3794181608546,2100.2741933177695,2125.4243208727767,2151.2388535354044,2175.052023998363,2186.409501305121,2186.500512887681,2170.2242656568046,2153.7683088809144,2140.4252469673697,2142.088017515271,2154.05782219272,2178.4031527098086,2194.4135558567464,2212.726336211021,2223.609425169741,2240.1824340016797,2249.971828509521,2251.7692437413716,2247.588318464369,2239.117449409342,2232.278570163703,2235.6386428924047,2250.0968133943616,2270.946032612599,2290.677433851643,2310.395544610099,2330.378318468761,2346.3232335220146,2353.2641691887666,2351.142439462905,2341.966453888357,2332.37110668824,2325.8671469040914,2335.4172825675373,2352.31054709702,2375.311649718449,2388.62320792994,2396.960269667903,2400.5454168334836,2398.9368141241225,2394.1128674893075,2383.6700461118057,2369.8339504983423,2353.6219628607364,2343.0223993488958
394974,7,"Philadelphia, PA",msa,PA,1181.1597024541948,1187.5721880425865,1200.546581082244,1206.977830803264,1213.2094886297928,1216.1996332920266,1218.655320363874,1219.1398796222054,1218.2723279348122,1217.088286217614,1213.2896360275909,1210.1124153932399,1211.0582336787954,1218.8783154682199,1228.4134054072088,1237.553007111299,1244.339794533747,1251.5337007714213,1252.6814892157108,1252.2848883422973,1248.5333436743924,1247.0494109214821,1248.4032182741453,1249.3279806413325,1253.6640344311547,1259.67451402883,1270.765355298944,1279.5330446621192,1285.3649520275737,1286.5335273179048,1287.1495465628032,1286.829580871286,1286.1373099075895,1285.4424619093531,1284.6959387445786,1287.1003738618122,1290.3075906852127,1298.3749059700133,1309.4563142641473,1319.1131368620445,1327.7771549117097,1331.384341825494,1332.3852744231235,1331.1155724966789,1328.7151503304992,1330.0246146603804,1333.2851671527847,1334.6620350808316,1339.1693941846402,1345.394007407236,1358.9340833222873,1370.0606726210472,1377.419843448177,1384.9515615738871,1388.438218676655,1388.565553741228,1384.6916471193801,1383.2400884690903,1383.2447569970807,1385.2706915942356,1388.5464631344657,1399.675316232366,1411.4384224883177,1416.767088105071,1417.7368327047336,1418.7308196504898,1424.359625156055,1424.1248221870474,1422.7841127370125,1421.237041014242,1422.2492439998443,1425.0130897845993,1430.8848848572973,1439.498107299349,1448.9012208967536,1463.991800131875,1485.0796263481282,1506.103226750653,1524.1148674517135,1539.245207305771,1547.3038686444238,1555.8910588789277,1563.931401289027,1579.6836618983136,1591.0566826465981,1602.747809282926,1613.6764999589009,1628.0045400973315,1642.3893194523578,1656.7287575426694,1668.0795932370315,1672.833088822579,1672.6403335186349,1667.0892823875517,1664.6806006256954,1661.8363096591288,1666.2875949230584,1669.5839908071525,1682.3786851421412,1692.2606393400572,1704.773550555973,1710.0231361003084,1717.4569325272198,1722.2473067242283,1727.0260910746213,1727.7102040626137,1725.7167140643364,1723.4697171677105,1725.5028516261045,1734.2317699537489,1744.3751451232483,1754.6023015181843,1764.2205148575495,1773.2906831931766,1779.4118063588473,1783.2462161067283,1785.5074525170978,1787.8738858307136,1790.5576933103966,1795.43765638562,1801.7058310752893,1808.5840269035887,1812.317518394124,1816.7593818349133,1822.0192485924756,1829.7684930978496,1841.8881662266642,1847.2724614403717,1851.7576169990052,1850.2190836957122,1849.1302469137404,1850.3445198329448
394856,8,"Miami, FL",msa,FL,1462.0229115051122,1467.667045331035,1473.0179985206353,1479.9161466585358,1488.581347607333,1497.1270880335435,1506.0759015327899,1513.4867326616125,1524.5359476881436,1531.8722560875192,1541.1370240416604,1544.0119687523595,1547.6346456886215,1548.8475970102459,1551.2521715455769,1552.6550847461401,1552.2465923775776,1552.575275133846,1554.737296855258,1557.4327085083385,1562.4821782101014,1565.3362544293732,1569.0861683645794,1568.0336219175185,1572.7145702127466,1576.1198342029847,1584.1749791755467,1586.3868855245862,1588.8682688114222,1591.6567740808348,1596.878217937335,1604.0901176179102,1610.8398003801146,1616.2406535452733,1617.5513701219954,1618.3865359784509,1620.1371664398737,1623.0926581575368,1627.0599032116959,1631.1171172729307,1635.1714679052552,1640.0283147984883,1645.273147109946,1651.8201900192696,1656.9678425980592,1663.8952123329314,1670.142744132561,1675.2344926448038,1674.654081690302,1673.1718319033162,1673.8312928289047,1676.8507612771023,1682.0902651601798,1686.1256315305423,1691.2722742304704,1695.0819323104058,1701.1654100816168,1710.7407512487748,1720.9550248349287,1727.37969648064,1728.825204682319,1731.6222778317515,1732.8337422381885,1726.9633511231373,1718.1304903738665,1716.4924140783774,1722.0231738555847,1727.4865379867867,1733.2099164553103,1745.801856518451,1763.589626624069,1778.9412107251978,1794.3416692182986,1816.8061453568441,1845.4484798236927,1879.1603215801945,1918.2159035343834,,,2095.1492204006026,2152.0158206585975,2194.1645874823744,2238.2664114359177,2284.3791561228145,2325.7942784697807,2358.617723865089,2394.2050569844014,2434.3775692858826,2473.4598830833106,2500.0065538139816,2519.360830517187,2527.12451084821,2534.6246905941593,2537.136629589707,2543.437670383343,2546.4869353576046,2548.3107192110815,2550.35418986528,2556.8074196637212,2562.695232348216,2569.167078857588,2572.1977045498224,2575.7852631233504,2579.309010716756,2583.2151786881036,2590.5685261709873,2592.926854220626,2588.5333681190805,2587.4209785345306,2593.6446867670998,2605.20734971035,2612.776352104615,2616.1920289069203,2619.372742771516,2624.7349337310925,2629.5264005131485,2634.697369037044,2635.445541262529,2635.5888997682955,2635.3731135862963,2639.1372263854273,2645.2536727749607,2653.1547661307504,2656.79959466698,2657.495027521671,2656.2183977133914,2656.052192425872,2656.1043739587208,2654.890898173588,2653.6250961588457,2652.6860600266014,2651.68724900609
394347,9,"Atlanta, GA",msa,GA,994.3265604169195,998.6335452190314,1001.696756718416,1011.4703552635904,1019.6270676639159,1030.812586063745,1036.430358320667,1039.6695239192493,1039.970364134481,1040.714708265023,1041.5325445014003,1045.3919076844038,1048.9097290596744,1055.495156047019,1062.234888305433,1069.7530399754808,1078.6002129487,1087.5322902408448,1096.0427530891716,1099.9291010473285,1100.0186328554596,1100.2902064951968,1100.871799149592,1103.1552516000502,1107.0960716621605,1114.9309166973626,1125.9917484761086,1137.707765399785,1149.6810767844247,1159.7347146910622,1168.2308655984452,1171.4028315136702,1173.2640004317927,1170.2561768606645,1172.2531315429549,1173.7109875394274,1180.7049963427016,1188.225027016896,1199.429660278987,1210.9710207202424,1222.0674358164233,1230.5593935091342,1236.2040692726234,1238.30018207648,1238.0138756774202,1243.6816681055643,1248.7885686805337,1254.4723198995143,1259.1936629484778,1266.1998870471225,1278.120225004921,1289.2840446842015,1300.0414574007623,1308.2722008464534,1312.6908647418306,1316.5733211991642,1318.6301282945972,1317.1607772703635,1314.455685383544,1314.28132695394,1319.2416171298148,1327.1065190559445,1335.6397947326977,1339.9924460311443,1344.3699334898963,1351.5556567947426,1365.92903055238,1379.2906428678318,1387.7663931508646,1393.176165740269,1397.815097330932,1404.6990015379172,1418.537814444756,1436.3442492214594,1455.0035520216495,1476.0216631913465,1502.602432142529,1540.2115585430984,1580.3408052887205,1621.3687859669021,1651.7282308942454,1670.2293212680975,1676.996911214999,1678.2852446070883,1681.3600848347999,1686.030141547454,1697.8787565001198,1710.6710915159597,1730.6598912272452,1750.116472057078,1772.0572751246432,1783.1248601923057,1784.463976722984,1773.8834121172454,1762.4475965029171,1757.4446110697377,1756.0041885357798,1761.1778994887275,1772.979781185524,1780.8596979270899,1787.3142753371974,1786.8657705721494,1791.523254057923,1790.1855261350572,1786.1000463891887,1773.911024904912,1761.9734451025388,1752.6589965897842,1755.9008026528686,1765.6880716599157,1773.3050640103709,1778.9567626922747,1784.0674876027658,1790.996768287784,1795.4351765327167,1794.603603590335,1794.645105406576,1788.376833627174,1782.8289060286713,1777.09670088527,1783.323612403496,1797.8390266266442,1811.6156926139645,1819.8431048637967,1822.355693895949,1825.10975189912,1830.2578845484659,1835.4391231040993,1838.7645869297846,1834.30684626195,1826.3967961306814,1818.6226860610038
