,United States
2018-03-31,458265.770197392
2018-04-30,460639.52365695575
2018-05-31,463182.4620438409
2018-06-30,465102.8037947668
2018-07-31,467110.2821984237
2018-08-31,468830.78364130267
2018-09-30,470503.2734561272
2018-10-31,471694.52367514017
2018-11-30,472675.83984291926
2018-12-31,473499.0670642645
2019-01-31,474183.3235322626
2019-02-28,474960.7599692361
2019-03-31,476017.62563231325
2019-04-30,477199.03758892725
2019-05-31,477952.4333825
2019-06-30,478468.4437251301
2019-07-31,478839.61821488646
2019-08-31,479457.8266374599
2019-09-30,480076.3928314818
2019-10-31,481224.9250929256
2019-11-30,482902.7273910309
2019-12-31,484991.0561367556
2020-01-31,487308.883896478
2020-02-29,489780.6315775093
2020-03-31,492462.05077749
2020-04-30,494710.1022482123
2020-05-31,495616.34640119225
2020-06-30,495486.7209820722
2020-07-31,495692.0994285728
2020-08-31,498029.32359415415
2020-09-30,503100.2206535339
2020-10-31,509833.09189197887
2020-11-30,517649.4247426754
2020-12-31,525458.0166033765
2021-01-31,532772.8714851806
2021-02-28,540182.3732520464
2021-03-31,547786.8960951054
2021-04-30,556618.0050652892
2021-05-31,566523.0379757453
2021-06-30,576751.171203135
2021-07-31,585522.1726554922
2021-08-31,591421.002315197
2021-09-30,595300.161398843
2021-10-31,599157.2814257779
2021-11-30,604250.2313055383
2021-12-31,610326.0916034676
2022-01-31,618520.4674040318
2022-02-28,628696.3882055922
2022-03-31,641382.8969058563
2022-04-30,654235.9466660757
2022-05-31,665496.0309132567
2022-06-30,673632.5404071221
2022-07-31,676268.1062554438
2022-08-31,673911.3843633108
2022-09-30,668060.2820252798
2022-10-31,663115.7433824112
2022-11-30,659473.8175530647
2022-12-31,656800.6238707636
2023-01-31,653211.7912364366
2023-02-28,649990.0263239734
2023-03-31,648073.2213302436
2023-04-30,648826.6917878011
2023-05-31,651383.6989934687
2023-06-30,655060.3108033505
2023-07-31,658820.3303587789
2023-08-31,662403.9567655028
2023-09-30,665471.9759784793
2023-10-31,667838.2368722548
2023-11-30,669592.9023697447
2023-12-31,670684.2957568461
2024-01-31,671267.3176392961
2024-02-29,672378.2132941795
2024-03-31,675246.7814334058
2024-04-30,679288.119999064
2024-05-31,682849.2113012788
2024-06-30,684383.582588181
2024-07-31,685016.8981962497
2024-08-31,685740.4241595779
2024-09-30,687165.6912303518
2024-10-31,688805.0733754794
2024-11-30,690267.7983114944
2024-12-31,691473.4069664031
2025-01-31,692060.5450179656
2025-02-28,692260.8507488043
2025-03-31,691524.1314866957
2025-04-30,690620.0285163134
2025-05-31,689132.1540202134
2025-06-30,687522.7734820467
2025-07-31,686159.5819648792
2025-08-31,685232.9919535723
2025-09-30,685491.8554659599
2025-10-31,686641.6534767741
2025-11-30,688519.3277275976
2025-12-31,690490.3989852575
